Subject,Group,Feel1,Feel2,FeelChange,Int1,Int2,IntChange,RT_Descript1,RT_Descript2,RT_Elab,MemDate,PosCon1,PosCon2,PosConChange,Dissimilarity,Elab_pos,Elab_meaning,Elab_future,MemCount
737,Neutral,4.454545455,3.909090909,-0.545454545,2,1.545454545,-0.454545455,91887.81818,69287.18182,87159,4.454545455,2.9,3,0.1,2.590909091,3.909090909,3.136363636,0,11
738,Positive,3.8,4.2,0.4,3.4,3.8,0.4,74484.1,56396.3,55214,3.5,2.7,2.8,0.1,2.35,4.7,5.85,0.4,10
739,Positive,2.833333333,3.166666667,0.333333333,3.166666667,3.833333333,0.666666667,105762.8333,137912,66357.5,2.333333333,2.5,2.6,0.1,3.833333333,4.833333333,5.083333333,0.333333333,6
741,Negative,3.363636364,3.272727273,-0.090909091,2.363636364,2.363636364,0,126938,99138.45455,113411.8182,3.454545455,2.55,2.65,0.1,3.227272727,2.681818182,4.227272727,0.318181818,11
742,Negative,4.636363636,4.727272727,0.090909091,2.272727273,1.818181818,-0.454545455,81032.81818,93894.72727,62399.90909,4.909090909,2.65,2.55,-0.1,2.272727273,2.727272727,4.454545455,0.454545455,11
744,Negative,3.444444444,4,0.555555556,3.555555556,2.777777778,-0.777777778,102303,146180.7778,93842.33333,3.777777778,2.3125,2.375,0.0625,2.277777778,2.555555556,4,0.388888889,9
745,Neutral,2.375,2.25,-0.125,4.5,4.25,-0.25,93123.25,91173.5,69643.875,4.625,2.375,2.5,0.125,2.5625,3.125,3.9375,0,8
746,Neutral,4.416666667,5,0.583333333,2.916666667,2.5,-0.416666667,180938.5833,118397.0833,119453.6667,4.166666667,2.727272727,3.272727273,0.545454545,2.666666667,3.791666667,5,0.166666667,12
748,Distraction,3.5,2.9,-0.6,3.7,3.5,-0.2,180553.2,147179.8,,3.6,2.555555556,2.722222222,0.166666667,2.3,,,,10
749,Negative,3.8,3.6,-0.2,3,3.3,0.3,123703.5,119943.8,65760.3,4.4,2.9375,2.5625,-0.375,2.6,2.25,3.25,0.3,10
750,Positive,4.2,4.9,0.7,1.9,2,0.1,173179.7,132338.6,38015.7,4.3,2.555555556,2.444444444,-0.111111111,2.2,5,4.45,0.15,10
752,Distraction,3.888888889,3.888888889,0,3.444444444,3.333333333,-0.111111111,130583.5556,153408,,4.222222222,2.666666667,2.888888889,0.222222222,2.555555556,,,,9
754,Distraction,4,3.833333333,-0.166666667,3.5,2.666666667,-0.833333333,94409.5,63912.16667,,3.166666667,2.3,2,-0.3,2.5,,,,6
755,Distraction,4.1,4.2,0.1,2.4,2.1,-0.3,118615.4,96063.5,,2.7,2.777777778,2.833333333,0.055555556,2.65,,,,10
756,Negative,3.090909091,2.909090909,-0.181818182,3.090909091,3.727272727,0.636363636,172642.1818,166758.5455,127337,2.909090909,3.15,2.65,-0.5,3.090909091,2.545454545,3.772727273,0.272727273,11
757,Positive,3.777777778,4.111111111,0.333333333,2.777777778,3.555555556,0.777777778,415530.5556,258584.8889,177206.2222,2.666666667,2.5,2.75,0.25,2.611111111,6.111111111,6.888888889,0.277777778,9
758,Neutral,5.833333333,6,0.166666667,1.166666667,1,-0.166666667,131468.1667,77276.33333,52489.16667,4.833333333,2.833333333,3.416666667,0.583333333,2.25,2.833333333,1.666666667,0,6
759,Negative,3.714285714,3.714285714,0,2.428571429,2.428571429,0,101517.7143,88656.14286,40554.85714,2.857142857,2.333333333,2.75,0.416666667,2.785714286,2.5,3.642857143,0.285714286,7
760,Positive,3.9,5.6,1.7,2.6,1.7,-0.9,120001.8,147135.6,123592.2,4.1,2.555555556,2.555555556,0,3.1,5.1,6.15,0.45,10
761,Neutral,3.166666667,4.166666667,1,3.666666667,2.166666667,-1.5,171875.6667,172515.1667,125853.5,3.5,2.833333333,3,0.166666667,2.083333333,3.833333333,2.583333333,0,6
762,Distraction,2.4,3.8,1.4,3.7,3.2,-0.5,99564.9,119699,,3.2,2.5,3.055555556,0.555555556,2.65,,,,10
763,Negative,3.454545455,3.090909091,-0.363636364,2.636363636,2.727272727,0.090909091,137709.7273,107282,100447.2727,3.818181818,2.4,2.65,0.25,2.363636364,2.590909091,4.409090909,0.272727273,11
764,Positive,4,4.125,0.125,2.625,2.375,-0.25,153741.25,163907.375,109646.625,4,2.5625,2.8125,0.25,2.25,6.0625,5.9375,0.4375,8
765,Neutral,3.909090909,4.454545455,0.545454545,2.909090909,2.181818182,-0.727272727,101452.6364,106104.5455,75207.36364,4.363636364,3.2,3.3,0.1,2.409090909,4.318181818,3,0,11
766,Distraction,2,2.5,0.5,3.5,3.5,0,373744.75,207125.8333,,4.416666667,2.727272727,2.5,-0.227272727,1.916666667,,,,12
767,Distraction,4.727272727,3.454545455,-1.272727273,2.090909091,2.636363636,0.545454545,192461.7273,121888.5455,,4.727272727,3.2,3.35,0.15,2.681818182,,,,11
768,Negative,2.166666667,2.75,0.583333333,3.75,3.583333333,-0.166666667,147327.3333,128739.6667,115952.9167,4.416666667,2.272727273,2.545454545,0.272727273,2.25,2.458333333,4.75,0.541666667,12
769,Positive,2.909090909,3.636363636,0.727272727,3.181818182,2.272727273,-0.909090909,135695.5455,88909.36364,99380.27273,5,2.5,2.75,0.25,2.227272727,4.681818182,5.454545455,0.363636364,11
770,Positive,3.916666667,5.083333333,1.166666667,2.833333333,1.416666667,-1.416666667,153252.8333,163860,106272.3333,4.916666667,2.5,2.454545455,-0.045454545,1.916666667,4.791666667,6.166666667,0.458333333,12
771,Neutral,4.181818182,3.909090909,-0.272727273,3.272727273,2.818181818,-0.454545455,66110,56359.81818,44912.72727,3.545454545,2.45,2.85,0.4,3.045454545,3.454545455,2.409090909,0,11
773,Distraction,3.777777778,4.777777778,1,1.888888889,2.333333333,0.444444444,126965,127936.1111,,3.555555556,2.444444444,2.5,0.055555556,2.388888889,,,,9
774,Negative,4,4.818181818,0.818181818,3.545454545,2.818181818,-0.727272727,165074.8182,73090.27273,112124.3636,4.818181818,2.45,2.9,0.45,4.136363636,2.909090909,4.272727273,0.181818182,11
777,Neutral,3.3,4.7,1.4,2.3,2.5,0.2,300441.5,312768.4,225437.9,4.7,3.055555556,3.222222222,0.166666667,2.25,4.1,4.85,0,10
778,Positive,2.5,5,2.5,3.333333333,2.5,-0.833333333,78786.16667,52026.83333,32717.66667,3.833333333,2.916666667,3.416666667,0.5,3.583333333,5.083333333,3.25,0.083333333,6
779,Distraction,3.3,3.2,-0.1,2.7,3.5,0.8,211556.5,140738.6,,3.6,2.5,2.888888889,0.388888889,2.5,,,,10
780,Negative,4.090909091,3.636363636,-0.454545455,3.727272727,3,-0.727272727,80993,78572.90909,54117,3.272727273,2.85,3.05,0.2,2.5,2.409090909,3.681818182,0.227272727,11
781,Distraction,4.25,4.333333333,0.083333333,2.416666667,2.416666667,0,178048.25,143008.8333,,4.75,2.636363636,2.954545455,0.318181818,2.625,,,,12
783,Negative,4.166666667,4,-0.166666667,2.333333333,3,0.666666667,77479.83333,78918,66493.66667,3.833333333,2.7,3.1,0.4,4.916666667,2.916666667,4.166666667,0.25,6
784,Positive,2.8,3.4,0.6,3.4,2.7,-0.7,160450.5,94580.1,74370.1,3.8,2.75,2.625,-0.125,2.3,5.15,5.75,0.3,10
785,Neutral,3.571428571,4.285714286,0.714285714,1.857142857,2.142857143,0.285714286,240130.2857,55236.57143,34911.42857,4,2.833333333,3.583333333,0.75,4.642857143,4.285714286,2.571428571,0,7
786,Positive,3,3.583333333,0.583333333,4,3.333333333,-0.666666667,106958.0833,121830.9167,63822.08333,4.333333333,2.863636364,2.772727273,-0.090909091,3.125,6.375,6.916666667,0.083333333,12
787,Neutral,4.416666667,4.666666667,0.25,2.333333333,2.083333333,-0.25,211202.5,185737.5,69855.33333,4.166666667,2.727272727,2.636363636,-0.090909091,2.375,3.958333333,2.166666667,0,12
789,Distraction,3.222222222,4,0.777777778,3.555555556,4,0.444444444,110032.1111,103235.8889,,3.555555556,2.875,3.375,0.5,2.666666667,,,,9
791,Distraction,3.090909091,3.454545455,0.363636364,3.545454545,3.545454545,0,147660.6364,170020.7273,,3.454545455,2.5,2.7,0.2,2.181818182,,,,11
794,Distraction,3.5,4.333333333,0.833333333,2.25,2.083333333,-0.166666667,224043.1667,136501.5833,,4.083333333,2.863636364,2.863636364,0,2.125,,,,12
795,Negative,2.666666667,2.555555556,-0.111111111,3,2.555555556,-0.444444444,145707.4444,89369.33333,31756.11111,3.444444444,2.375,2.5625,0.1875,3.277777778,2.333333333,2.777777778,0.277777778,9
797,Neutral,2.1,3.2,1.1,3.8,2.9,-0.9,192168.1,185140.8,50251.7,4.2,2.388888889,2.611111111,0.222222222,2.8,4.35,2.6,0,10
800,Neutral,3.75,4,0.25,2.583333333,2.333333333,-0.25,141017.4167,104438.25,81031.91667,4.416666667,2.818181818,2.772727273,-0.045454545,2.333333333,3.958333333,3.25,0,12
802,Negative,3.888888889,3.888888889,0,1.777777778,1.111111111,-0.666666667,177480.7778,169679.6667,153234.6667,5.444444444,2.4375,2.1875,-0.25,2.722222222,2.111111111,4.611111111,0.333333333,9
804,Neutral,3,3.5,0.5,1.625,1,-0.625,126247.625,46269.625,139225.75,3.625,2.9375,3.375,0.4375,2.5625,3.5625,4.25,0,8
806,Neutral,4.090909091,4.454545455,0.363636364,2.181818182,1.727272727,-0.454545455,190281.5455,120586,86378.09091,4.727272727,2.6,2.55,-0.05,2.590909091,3.318181818,4.272727273,0.090909091,11
807,Negative,3.090909091,3.363636364,0.272727273,3.181818182,3.363636364,0.181818182,128891.1818,89627.09091,101337,3.636363636,2.75,2.6,-0.15,2.227272727,2.772727273,5.181818182,0.363636364,11
809,Distraction,4,3.666666667,-0.333333333,2.75,3.5,0.75,177632.75,84094.16667,,4.416666667,2.818181818,2.863636364,0.045454545,2.625,,,,12
811,Neutral,3.727272727,4.090909091,0.363636364,2.272727273,1.454545455,-0.818181818,103541.8182,89055.18182,88214.09091,3.909090909,2.6,2.8,0.2,2.409090909,3.545454545,4.5,0.090909091,11
812,Distraction,5.181818182,5,-0.181818182,4,3.454545455,-0.545454545,205022.8182,161290.4545,,4.454545455,2.25,2.45,0.2,2.181818182,,,,11
813,Distraction,3,3.666666667,0.666666667,2.333333333,2,-0.333333333,94807.11111,100272.8889,,4.111111111,3.125,3.1875,0.0625,2.111111111,,,,9
814,Negative,3.4,3.1,-0.3,3.6,3.5,-0.1,123615.7,76098.3,91462.5,5,2.444444444,2.333333333,-0.111111111,3.35,2.25,4.6,0.1,10
815,Negative,3.181818182,3.727272727,0.545454545,3.818181818,2.727272727,-1.090909091,282503.5455,202780.3636,154154.6364,3.454545455,2.55,2.7,0.15,2.363636364,2.590909091,3.636363636,0.181818182,11
816,Positive,4.181818182,5,0.818181818,3,2,-1,169063.4545,102431,110843.8182,3.454545455,2.35,2.65,0.3,2.5,6.454545455,7.181818182,0.181818182,11
817,Positive,3.333333333,5,1.666666667,3.083333333,2.416666667,-0.666666667,125307.9167,117165.8333,102363.8333,4,2.5,2.727272727,0.227272727,2.416666667,4.708333333,5.375,0.625,12
818,Neutral,4.285714286,5.142857143,0.857142857,2.428571429,1.428571429,-1,204041.1429,182586.2857,75946,4,2.714285714,2.428571429,-0.285714286,2.928571429,4.071428571,3.071428571,0,7
819,Neutral,4.7,4.6,-0.1,3,2.8,-0.2,154937.9,169327.2,108982.4,4,2.444444444,2.888888889,0.444444444,2.75,2.95,4.7,0.2,10
820,Distraction,4.833333333,5,0.166666667,1.5,2,0.5,154753.5,72373.5,,4.666666667,2.333333333,2.583333333,0.25,2.583333333,,,,6
822,Negative,2.25,4.375,2.125,3.125,2.25,-0.875,196913.75,113581.125,145878.625,5.125,2.9375,2.875,-0.0625,2.1875,2.5,5.1875,0.1875,8
823,Distraction,2.625,4.125,1.5,3.375,3.75,0.375,119241.125,102582.625,,3.625,2.357142857,2.214285714,-0.142857143,2.375,,,,8
824,Negative,3.1,4,0.9,3,3.4,0.4,112969.6,92196.4,96668.5,4,2.555555556,2.5,-0.055555556,2.55,2.55,4.15,0.25,10
825,Positive,2.5,3.1,0.6,3.5,3.5,0,312766.4,192964.4,118357.2,4.7,2.666666667,2.444444444,-0.222222222,2.1,4.65,4.85,0.4,10
826,Positive,3,5,2,2.833333333,2.666666667,-0.166666667,125978.8333,73794.33333,62034.5,3.5,2.7,3.1,0.4,2.166666667,4.75,4.666666667,0.333333333,6
827,Neutral,4.1,3.6,-0.5,3,2.2,-0.8,84933.2,67969.9,71240.1,3.8,2.833333333,2.5,-0.333333333,3.7,4.15,4,0,10
828,Neutral,3.5,4.25,0.75,3,3.375,0.375,126223.125,146351.25,61286.125,3.75,3.071428571,3.642857143,0.571428571,2.1875,4.75,3.25,0.125,8
830,Positive,3.454545455,4.545454545,1.090909091,3.090909091,2.636363636,-0.454545455,160965.3636,100560.6364,97797.36364,3.272727273,2.4,2.95,0.55,2.636363636,4.818181818,5.545454545,0.363636364,11
831,Neutral,4.7,4.7,0,2.1,2.4,0.3,201614.8,137498.7,181404.9,2,2.85,3.15,0.3,4,3.7,3.25,0.1,10
832,Positive,3.571428571,3.428571429,-0.142857143,3.142857143,3.285714286,0.142857143,231526.8571,154976.4286,70736.85714,3.857142857,2.333333333,2.666666667,0.333333333,2.285714286,4.428571429,4.928571429,0.285714286,7
834,Distraction,3,3.428571429,0.428571429,2.714285714,2.285714286,-0.428571429,97763.57143,98085.28571,,3.857142857,2.583333333,2.416666667,-0.166666667,2.5,,,,7
835,Distraction,3.909090909,4.181818182,0.272727273,2.818181818,3,0.181818182,195894.7273,156687.1818,,3.818181818,2.45,2.5,0.05,2.727272727,,,,11
836,Negative,3.272727273,4.181818182,0.909090909,3.545454545,1.636363636,-1.909090909,118750.9091,78574.54545,71939.81818,4.545454545,2.5,2.6,0.1,2.272727273,2.454545455,4.272727273,0.363636364,11
837,Positive,3.888888889,3.666666667,-0.222222222,3.777777778,2.666666667,-1.111111111,92912.33333,89029.66667,50347.88889,4,2.571428571,2.5,-0.071428571,2.166666667,5.888888889,5.611111111,0.222222222,9
839,Neutral,3.166666667,3,-0.166666667,3.666666667,4.166666667,0.5,174929.5,102316.1667,43705.66667,3,2.666666667,2.666666667,0,5.083333333,4.166666667,2.916666667,0,6
840,Distraction,2.5,4.125,1.625,3.5,2.125,-1.375,106133.375,34209.5,,4.375,2.3125,2.75,0.4375,3.5,,,,8
841,Positive,2.625,4.875,2.25,3.25,2.25,-1,76559.125,61985.75,136181.25,2.25,2.625,3.5625,0.9375,4.625,4.875,5.3125,0.1875,8
842,Positive,2.857142857,3.571428571,0.714285714,3.142857143,3.428571429,0.285714286,85448.42857,59370.85714,77731.57143,3.428571429,2.857142857,2.571428571,-0.285714286,2.642857143,4.357142857,4.928571429,0.214285714,7
844,Negative,3.833333333,4.833333333,1,3.166666667,3,-0.166666667,165300.5,166419.1667,63042,4.666666667,2.7,2.5,-0.2,2.583333333,2.416666667,3.083333333,0.5,6
845,Positive,4.272727273,5,0.727272727,2.727272727,2.727272727,0,159764.9091,151796.6364,82233.45455,3.727272727,2.55,2.8,0.25,3.045454545,4.409090909,5.318181818,0.318181818,11
846,Neutral,2,2.833333333,0.833333333,4,3.5,-0.5,100189.1667,92158,37106.16667,4.5,2.5,2.5,0,3.083333333,4.333333333,2.416666667,0,6
847,Distraction,5,5.5,0.5,2,1.75,-0.25,159776,120971.25,,3.125,5.357142857,5.428571429,0.071428571,2.5625,,,,8
848,Negative,2.75,3,0.25,1.75,2.875,1.125,59226.25,20510.625,18495.625,2.75,2.4375,2.875,0.4375,2.4375,2.375,2.9375,0.125,8
849,Neutral,4.333333333,4.222222222,-0.111111111,2.888888889,3.222222222,0.333333333,93926.22222,131902.4444,61568.77778,3.444444444,2.4375,2.3125,-0.125,3.777777778,4.722222222,4,0,9
850,Negative,3.777777778,3.888888889,0.111111111,2,1.888888889,-0.111111111,207649.2222,171869.6667,183164,5.111111111,2.625,2.3125,-0.3125,3.333333333,2.722222222,4.555555556,0.111111111,9
852,Neutral,3,3.444444444,0.444444444,2.888888889,2.444444444,-0.444444444,67334.66667,65879.33333,25399.22222,4.222222222,2.875,2.875,0,2.333333333,4.111111111,2.5,0,9
854,Distraction,4.454545455,4.272727273,-0.181818182,1.636363636,2.636363636,1,138684.8182,127998.1818,,2,2.65,3,0.35,2.5,,,,11
855,Positive,2.333333333,2.777777778,0.444444444,3,3.222222222,0.222222222,69178.33333,70997.11111,45095.22222,2.444444444,2.8125,2.8125,0,2.666666667,4.555555556,4.888888889,0.333333333,9
856,Positive,3.5,4.7,1.2,3,2.5,-0.5,222812.3,108806.3,138989.7,3.5,3.111111111,3.277777778,0.166666667,2.8,5.6,6.3,0.4,10
857,Positive,3.666666667,3.333333333,-0.333333333,2.916666667,3.083333333,0.166666667,135355.8333,89084.08333,81856.58333,4.25,2.590909091,2,-0.590909091,2.833333333,5.208333333,6.416666667,0.208333333,12
858,Positive,4.777777778,4.444444444,-0.333333333,1.666666667,2.111111111,0.444444444,185329.5556,111274.6667,129483.3333,4.222222222,2.388888889,2.5,0.111111111,2.833333333,5.055555556,6.166666667,0.555555556,9
859,Positive,4.142857143,5.857142857,1.714285714,3.285714286,3.571428571,0.285714286,157319.5714,223952.8571,72554.14286,3.285714286,3.333333333,3.333333333,0,4.785714286,5.714285714,6.142857143,0.142857143,7
860,Neutral,2.909090909,2.545454545,-0.363636364,3.636363636,3.727272727,0.090909091,183349.0909,255961.2727,55334,4.818181818,3.15,2.55,-0.6,2.636363636,3.272727273,1.454545455,0,11
863,Negative,2,2.545454545,0.545454545,4.090909091,4.181818182,0.090909091,176029.6364,162697.9091,114399.7273,2.454545455,3.25,2.35,-0.9,3.045454545,2.727272727,4.590909091,0.318181818,11
864,Distraction,3.428571429,4,0.571428571,2.428571429,1.714285714,-0.714285714,105681.5714,86320.14286,,3.857142857,3.428571429,2.571428571,-0.857142857,2.214285714,,,,7
865,Distraction,4.142857143,4.714285714,0.571428571,3.285714286,2,-1.285714286,78955.71429,43180.42857,,3.857142857,3.25,2.5,-0.75,4.071428571,,,,7
867,Negative,4,3.555555556,-0.444444444,3.333333333,3.888888889,0.555555556,79872.66667,81701.22222,61769,4,3,2.277777778,-0.722222222,2.611111111,2.611111111,4.166666667,0.277777778,9
868,Negative,3.181818182,3.454545455,0.272727273,3.363636364,3.363636364,0,189601.8182,152652.5455,59402.54545,4.727272727,3.6,2.5,-1.1,2.318181818,2.909090909,4.045454545,0.272727273,11
869,Distraction,3.818181818,4.727272727,0.909090909,2.090909091,1.272727273,-0.818181818,235980.2727,209281.6364,,4.272727273,2.15,2.3,0.15,2.590909091,,,,11